à	0
le	0
la	0
de	0
l	0.00305343748689025
en	0.00305343748689025
un	0.00611622701743605
et	0.00611622701743605
a	0.00611622701743605
une	0.00918842605440617
les	0.00918842605440617
des	0.00918842605440617
d	0.00918842605440617
du	0.0153612851614871
pour	0.0215724852541278
au	0.0246926125903714
dans	0.0278225055992992
sur	0.0532206962049095
été	0.109433841045462
par	0.109433841045462
ont	0.112840999367076
est	0.116259806115862
il	0.137021797564291
se	0.147566710740906
qui	0.158224005214894
son	0.168996102196805
après	0.209517299602445
s	0.247836163904581
que	0.251750063225718
aux	0.299952165043595
avec	0.346276236717834
pas	0.363667979429703
plus	0.381367556529104
ce	0.385841836924025
sa	0.413116254843684
pays	0.413116254843684
président	0.417735200699979
contre	0.422375580256481
depuis	0.450679356419333
premier	0.465137439594563
sont	0.484745910982939
deux	0.489708700325068
fait	0.525155449320816
n	0.556571645554195
ministre	0.567266934670942
ses	0.583527455542723
morts	0.611230058092059
être	0.633958309169615
jeudi	0.633958309169615
ne	0.639722013886365
ans	0.639722013886365
lundi	0.651350051881484
matin	0.657215171333882
trois	0.669049628980885
français	0.675019795967389
bush	0.6810258200276
qu	0.70541727315176
mercredi	0.769133087537867
france	0.769133087537867
vendredi	0.775733771569219
selon	0.775733771569219
dimanche	0.775733771569219
nouveau	0.789067302438685
soir	0.795801334620029
mais	0.809406986675807
ils	0.809406986675807
personnes	0.816279865963569
leur	0.830168978124237
samedi	0.837186550782883
mardi	0.837186550782883
avoir	0.837186550782883
gouvernement	0.880358722648092
avait	0.895173808433232
irak	0.90266448016239
américain	0.910211685797773
était	0.925479157928561
al	0.925479157928561
nouvelle	0.948826521925552
entre	0.956731701432666
plusieurs	0.972732042779107
britannique	0.972732042779107
sans	1.0055218656021
fin	1.0055218656021
unis	1.01389011527261
moins	1.03942341727778
tf1	1.04808148002089
première	1.04808148002089
mort	1.04808148002089
lors	1.05681515998965
attentat	1.05681515998965
fr	1.0656257896718
etats	1.0656257896718
comme	1.0656257896718
ou	1.07451473708905
jours	1.08348340707181
etat	1.08348340707181
chef	1.08348340707181
elle	1.101665726155
attentats	1.101665726155
tout	1.11088238125992
cette	1.11088238125992
procès	1.12018477392224
où	1.12018477392224
fois	1.12957451427208
vers	1.14862270924277
israël	1.14862270924277
chirac	1.14862270924277
enquête	1.15828462015451
armée	1.15828462015451
sud	1.16804079509987
quatre	1.17789309154288
nord	1.17789309154288
toujours	1.18784342239605
europe	1.18784342239605
nouvelles	1.19789375824955
non	1.19789375824955
avant	1.19789375824955
y	1.20804612971357
dernier	1.20804612971357
sécurité	1.22866541691631
blair	1.22866541691631
qaïda	1.2391367167836
cinq	1.2391367167836
londres	1.24971882611414
notamment	1.26041411523089
ancien	1.26041411523089
près	1.2712250313351
israélien	1.28215410186729
blessés	1.28215410186729
bilan	1.28215410186729
gaza	1.29320393805388
si	1.304377238652
tué	1.33866631213064
police	1.33866631213064
paris	1.33866631213064
monde	1.35036235189383
homme	1.37417300058755
autres	1.37417300058755
alors	1.37417300058755
même	1.38629436111989
guerre	1.38629436111989
victimes	1.39856445371171
sous	1.39856445371171
législatives	1.39856445371171
jean	1.39856445371171
aurait	1.39856445371171
pape	1.41098697371026
leurs	1.41098697371026
devant	1.42356575591712
face	1.43630478169455
place	1.44920818653046
faire	1.44920818653046
dont	1.44920818653046
vie	1.46228026809781
très	1.46228026809781
saddam	1.46228026809781
presse	1.46228026809781
ex	1.46228026809781
encore	1.46228026809781
annoncé	1.46228026809781
retrait	1.47552549484783
mois	1.47552549484783
lui	1.47552549484783
ii	1.47552549484783
européenne	1.47552549484783
appel	1.47552549484783
américaine	1.47552549484783
heures	1.48894851517997
autorités	1.48894851517997
état	1.50255416723575
palestiniens	1.50255416723575
ces	1.50255416723575
tués	1.51634748936809
sharon	1.51634748936809
peut	1.51634748936809
bagdad	1.51634748936809
ville	1.53033373134283
prison	1.53033373134283
victoire	1.54451836633478
milliers	1.54451836633478
grande	1.55890710378688
étaient	1.57350590320804
c	1.57350590320804
anti	1.57350590320804
semaine	1.58832098899318
on	1.58832098899318
lieu	1.58832098899318
jusqu	1.58832098899318
européens	1.58832098899318
onu	1.60335886635772
millions	1.60335886635772
britanniques	1.60335886635772
avion	1.60335886635772
union	1.61862633848851
ue	1.61862633848851
politique	1.61862633848851
george	1.61862633848851
crise	1.61862633848851
bande	1.61862633848851
veut	1.63413052502447
parti	1.63413052502447
menace	1.63413052502447
mahmoud	1.63413052502447
américains	1.63413052502447
terroriste	1.64987888199261
internationale	1.64987888199261
attaques	1.64987888199261
accident	1.64987888199261
sera	1.66587922333905
palestinien	1.66587922333905
juillet	1.66587922333905
bien	1.66587922333905
vidéo	1.68213974421083
quelques	1.69866904616204
française	1.69866904616204
comment	1.69866904616204
tête	1.71547616447842
arrêté	1.71547616447842
septembre	1.73257059783772
paul	1.73257059783772
nuit	1.73257059783772
mouvement	1.73257059783772
hamas	1.73257059783772
déjà	1.73257059783772
constitution	1.73257059783772
attaque	1.73257059783772
tribunal	1.74996234054959
tour	1.74996234054959
présidentielle	1.74996234054959
proche	1.74996234054959
iran	1.74996234054959
décision	1.74996234054959
annonce	1.74996234054959
sommet	1.76766191764899
otages	1.76766191764899
opération	1.76766191764899
opposition	1.76766191764899
centre	1.76766191764899
pris	1.78568042315167
irakien	1.78568042315167
hommes	1.78568042315167
washington	1.80402956181987
tous	1.80402956181987
retour	1.80402956181987
parlement	1.80402956181987
officiellement	1.80402956181987
eu	1.80402956181987
dit	1.80402956181987
conseil	1.80402956181987
